aceleracaoMinima,audioMinimo,aceleracaoMaxima,audioMaximo,aceleracaoMedia,audioMedio,aceleracaoVariancia,audioVariancia,aceleracaoRMS,audioRMS,aceleracaoMaxFreAmp1,aceleracaoMaxFreAmp2,aceleracaoMaxFreAmp3,aceleracaoMaxFreAmp4,aceleracaoMaxFreAmp5,aceleracaoMaxFre1,aceleracaoMaxFre2,aceleracaoMaxFre3,aceleracaoMaxFre4,aceleracaoMaxFre5,audioMaxFreAmp1,audioMaxFreAmp2,audioMaxFreAmp3,audioMaxFreAmp4,audioMaxFreAmp5,audioMaxFre1,audioMaxFre2,audioMaxFre3,audioMaxFre4,audioMaxFre5,temperaturaFerramenta,experimento
-115.0008,-430.9973,178.4784,442.7401,27.486388,7.3515279,60.760734,251.36101,66.539609,250.79217,43.130181,37.460463,30.138572,27.486388,24.450446,0,4838.7097,5376.3441,5913.9785,8064.5161,306.1551,116.8277,80.661936,46.451442,46.057574,1075.2688,1612.9032,2150.5376,2688.172,3763.4409,31.97,f010 ap030 ac
-94.56799,-356.7181,200.2354,492.3958,13.035698,13.502,56.792083,234.60109,58.120756,234.36223,44.579381,28.106072,26.602788,21.012083,20.336625,1612.9032,2688.172,4301.0753,5913.9785,8064.5161,316.91264,64.42349,36.483177,35.482491,30.878236,537.63441,1075.2688,1612.9032,2150.5376,2688.172,30.44,f010 ap030 ac
-116.6074,-299.6621,152.0691,403.137,6.891449,19.738751,54.855289,179.23469,55.140759,179.84132,26.149097,25.410592,24.27024,24.209699,22.878713,4301.0753,4838.7097,5376.3441,6989.2473,7526.8817,203.77845,113.23114,53.547841,48.195193,37.760853,537.63441,1075.2688,1612.9032,2150.5376,2688.172,31.57,f010 ap030 ac
-143.2743,-228.4726,158.2669,312.4535,14.787122,10.330274,55.578198,139.00036,57.367907,139.01257,35.52738,30.911938,29.002875,22.820992,21.462442,4301.0753,5913.9785,6451.6129,6989.2473,7526.8817,155.65056,99.930608,32.237483,27.047118,22.832371,1075.2688,1612.9032,2688.172,4301.0753,4838.7097,30.8,f010 ap030 ac
-158.3609,-222.508,167.1091,287.855,10.814472,17.936268,62.621024,149.18183,63.382769,149.85965,45.499644,38.911081,28.697769,26.770223,20.947003,1075.2688,2688.172,4301.0753,7526.8817,9139.7849,154.73441,107.08451,61.196118,37.034826,29.367078,537.63441,1075.2688,1612.9032,2150.5376,2688.172,31.02,f010 ap030 ac
-155.6774,-297.0943,170.431,356.4878,1.2137304,4.0415098,67.684621,174.50952,67.514314,174.08921,40.676135,37.943553,28.414426,28.210906,28.194217,537.63441,3763.4409,5376.3441,7526.8817,8064.5161,170.01163,138.00638,57.888507,51.560545,35.383001,1075.2688,1612.9032,2150.5376,3225.8065,3763.4409,31.31,f010 ap030 ac
-127.2322,-629.6687,99.66554,637.1145,-13.137579,-19.763846,55.608864,289.56187,56.994782,289.4621,33.861283,30.939282,27.756493,22.777661,20.634797,537.63441,2688.172,5376.3441,7526.8817,9139.7849,336.07352,202.12334,73.192781,40.862545,40.117834,1075.2688,1612.9032,2150.5376,5376.3441,7526.8817,31.4,f010 ap030 ac
-130.7822,-385.2854,141.9787,458.6913,-2.8689128,11.410504,57.004771,250.15841,56.924488,249.74944,45.724244,27.34947,22.401441,19.677731,18.982529,2150.5376,2688.172,5913.9785,7526.8817,9139.7849,313.57133,100.63697,53.925832,52.038454,48.204574,537.63441,1075.2688,1612.9032,2150.5376,4838.7097,31,f010 ap030 ac
-214.8963,-408.1901,97.62183,369.2957,-15.701355,-33.264493,60.845389,200.83925,62.680909,203.0449,47.577596,28.512342,22.447262,21.102879,19.942641,1075.2688,1612.9032,2150.5376,7526.8817,8602.1505,244.17781,106.17084,44.835411,44.384578,37.905877,537.63441,1075.2688,1612.9032,3225.8065,7526.8817,30.93,f010 ap030 ac
-128.7899,-408.1901,130.1307,518.509,-1.1547876,-31.273802,56.728199,270.3308,56.5881,271.4148,43.287818,31.076256,29.166821,23.016009,20.377328,1075.2688,5376.3441,5913.9785,6451.6129,7526.8817,310.03857,141.29039,112.5897,88.367777,54.672429,537.63441,1075.2688,1612.9032,2150.5376,2688.172,30.99,f010 ap030 ac
-129.9504,-414.595,125.4944,360.1204,1.3818001,-23.482845,57.27511,230.47459,57.138473,231.05394,41.205271,37.489396,31.829693,21.450728,20.337767,2688.172,5376.3441,5913.9785,7526.8817,9139.7849,271.34948,95.478626,79.786477,59.749706,50.2907,1075.2688,1612.9032,2150.5376,2688.172,3225.8065,31.07,f010 ap030 ac
-178.3773,-384.9024,142.7808,368.2795,8.1572618,-24.481843,65.188073,233.93698,65.523288,234.5916,51.127281,34.512498,31.015588,26.207904,26.200947,1612.9032,4301.0753,5913.9785,7526.8817,8064.5161,270.49377,145.49431,72.053988,54.286168,49.737494,537.63441,1075.2688,1612.9032,2688.172,7526.8817,31.03,f010 ap030 ac
-125.3476,-381.0143,156.7787,385.1477,6.0456504,-26.388214,59.922373,180.37496,60.066955,181.81715,38.72185,32.382468,27.567473,27.258816,22.747146,1612.9032,2688.172,4838.7097,5913.9785,6451.6129,202.81219,104.39138,70.016915,47.174266,36.827307,1075.2688,1612.9032,2150.5376,4838.7097,7526.8817,31.42,f010 ap030 ac
-159.8932,-359.0603,146.064,271.8788,3.8305811,14.566045,59.28619,149.79555,59.251411,150.10291,33.324114,29.448769,26.716113,24.765573,22.891961,1612.9032,4301.0753,5913.9785,6989.2473,7526.8817,163.46302,91.250594,79.776945,27.420567,24.19193,537.63441,1075.2688,1612.9032,2688.172,7526.8817,30.89,f010 ap030 ac
